"001-time","002-E-El","003-HDG-#iterations","004-HDG-RunTime","005-HDG-RunTimePerIteration","006-HDG-Norm","007-ElecDisplCurrent-001-BC_WALL","008-ElecDisplCurrent-002-BC_WALL_INLET","009-ElecDisplCurrent-003-BC_WALL_PUMP","010-ElecDisplCurrent-004-BC_SUBSTRAT","011-ElecDisplCurrent-005-BC_ELECTRODE","012-ElecDisplCurrent-006-BC_SYMMETRY"
0.5500000000000000E-007,0.1655640368487452E+003,0.1240000000000000E+003,0.1296399999999998E-001,0.1045483870967740E-003,0.8223772362549285E-006,0.2012848484350035E+003,0.0000000000000000E+000,0.7710230539607298E+002,0.0000000000000000E+000,-.2543270963413385E+003,0.2147614114322849E-008
0.5999999999999999E-007,0.1585700227696470E+003,0.1240000000000000E+003,0.1311499999999999E-001,0.1057661290322580E-003,0.7245973485235910E-006,0.1465563752945146E+003,0.0000000000000000E+000,0.7527876795492334E+002,0.0000000000000000E+000,-.2275954927598768E+003,0.4794057928414475E-009
0.6500000000000000E-007,0.1508744655081246E+003,0.1220000000000000E+003,0.1281700000000008E-001,0.1050573770491810E-003,0.9906125090242620E-006,0.1231395858200018E+003,0.0000000000000000E+000,0.8964831337121797E+002,0.0000000000000000E+000,-.2037005632903117E+003,0.6102471195035264E-008
0.7000000000000000E-007,0.1441768693527459E+003,0.1210000000000000E+003,0.1267999999999991E-001,0.1047933884297513E-003,0.8540608578504839E-006,0.1106236088793477E+003,0.0000000000000000E+000,0.7294935748612663E+002,0.0000000000000000E+000,-.1747664055981038E+003,-.3358485489712848E-008
0.7500000000000001E-007,0.1392183596897328E+003,0.1230000000000000E+003,0.1263599999999998E-001,0.1027317073170730E-003,0.9937509292945285E-006,0.6198085167799012E+002,0.0000000000000000E+000,0.5736160386043306E+002,0.0000000000000000E+000,-.1639879997100730E+003,0.3921512503612945E-008
0.8000000000000001E-007,0.1346939676429266E+003,0.1210000000000000E+003,0.1248100000000008E-001,0.1031487603305791E-003,0.9506035957763520E-006,0.6720948419314499E+002,0.0000000000000000E+000,0.4930760141119482E+002,0.0000000000000000E+000,-.1220978306271782E+003,-.2648186114839746E-008
0.8500000000000002E-007,0.1308661058543814E+003,0.1230000000000000E+003,0.1300899999999994E-001,0.1057642276422759E-003,0.8676908546564425E-006,0.4858684055230471E+002,0.0000000000000000E+000,0.3986825018480504E+002,0.0000000000000000E+000,-.1166857986076873E+003,-.8999639922180336E-008
0.9000000000000003E-007,0.1273833916466690E+003,0.1220000000000000E+003,0.1270399999999994E-001,0.1041311475409831E-003,0.9363024581912228E-006,0.4623452379707113E+002,0.0000000000000000E+000,0.4228873027641004E+002,0.0000000000000000E+000,-.9836844165086180E+002,0.4471486403367919E-008
0.9500000000000003E-007,0.1239542170716225E+003,0.1230000000000000E+003,0.1251400000000003E-001,0.1017398373983742E-003,0.9243544487884047E-006,0.6096292589911873E+002,0.0000000000000000E+000,0.4673301241420280E+002,0.0000000000000000E+000,-.6529856513982955E+002,0.2878085325619395E-008
0.1000000000000000E-006,0.1206401805939420E+003,0.1230000000000000E+003,0.1288499999999992E-001,0.1047560975609750E-003,0.7794530079347997E-006,-.3479746954915304E+001,0.0000000000000000E+000,0.3464116566267916E+002,0.0000000000000000E+000,-.5947364609317258E+002,-.1529381510323446E-008
